name,party_id,startDate,endDate
יוסף תמיר,,1974-01-21T00:00:00,1977-06-13T00:00:00
שמואל תמיר,,1965-11-22T00:00:00,1969-11-17T00:00:00
שמואל תמיר,,1969-11-17T00:00:00,1974-01-21T00:00:00
שמואל תמיר,,1974-01-21T00:00:00,1977-01-21T00:00:00
חמי דורון,,2004-08-04T00:00:00,2006-04-17T00:00:00
ירדנה מלר-הורוביץ,,2004-10-03T00:00:00,2006-04-17T00:00:00
אראלה גולן,,2004-12-17T00:00:00,2006-04-17T00:00:00
יוסף (טומי) לפיד,,2005-01-10T00:00:00,2005-11-23T00:00:00
עבד-אלמאלכ דהאמשה,,2005-01-17T00:00:00,2006-04-17T00:00:00
"יצחק שד""ר",,2003-02-17T00:00:00,2006-04-17T00:00:00
קולט אביטל,,2005-01-31T00:00:00,2006-04-17T00:00:00
גילה פינקלשטיין,,2005-01-31T00:00:00,2006-04-17T00:00:00
שמואל הלפרט,,2005-02-23T00:00:00,2006-04-17T00:00:00
אברהם הירשזון,,2003-02-27T00:00:00,2003-03-05T00:00:00
סופה לנדבר,,2006-01-11T00:00:00,2006-02-08T00:00:00
צבי הנדל,,2006-04-17T00:00:00,2009-02-24T00:00:00
ויצמן שירי,,2006-01-17T00:00:00,2006-04-17T00:00:00
אברהם יחזקאל,,2006-01-17T00:00:00,2006-01-28T00:00:00
טובה אילן,,2006-01-21T00:00:00,2006-04-17T00:00:00
רונן צור,,2006-01-25T00:00:00,2006-04-17T00:00:00
אפי איתם,,2006-04-17T00:00:00,2009-02-24T00:00:00
ניסן סלומינסקי,,2006-04-17T00:00:00,2009-02-24T00:00:00
יצחק לוי,,2006-04-17T00:00:00,2009-02-24T00:00:00
אריה אלדד,,2006-04-17T00:00:00,2009-02-24T00:00:00
אורי אריאל,,2006-04-17T00:00:00,2009-02-24T00:00:00
עזמי בשארה,,2006-04-17T00:00:00,2007-04-24T00:00:00
ג'מאל זחאלקה,,2006-04-17T00:00:00,2009-02-24T00:00:00
ואסל טאהא,,2006-04-17T00:00:00,2009-02-24T00:00:00
רפי איתן,,2006-04-17T00:00:00,2009-02-24T00:00:00
יעקב בן-יזרי,,2006-04-17T00:00:00,2009-02-24T00:00:00
משה שרוני,,2006-04-17T00:00:00,2009-02-24T00:00:00
יצחק זיו,,2006-04-17T00:00:00,2009-02-24T00:00:00
יצחק גלנטי,,2006-04-17T00:00:00,2009-02-24T00:00:00
אלחנן גלזר,,2006-04-17T00:00:00,2009-02-24T00:00:00
שרה מרום שלו,,2006-04-17T00:00:00,2009-02-24T00:00:00
מוחמד ברכה,,2006-04-17T00:00:00,2009-02-24T00:00:00
חנא סוייד,,2006-04-17T00:00:00,2009-02-24T00:00:00
אברהם רביץ,,2006-04-17T00:00:00,2009-01-26T00:00:00
מאיר פרוש,,2006-04-17T00:00:00,2009-02-24T00:00:00
משה גפני,,2006-04-17T00:00:00,2009-02-24T00:00:00
שמואל הלפרט,,2006-04-17T00:00:00,2009-02-24T00:00:00
קולט אביטל,,2006-04-17T00:00:00,2009-02-24T00:00:00
ראלב מג'אדלה,,2006-04-17T00:00:00,2009-02-24T00:00:00
שלום שמחון,,2006-04-17T00:00:00,2009-02-24T00:00:00
דני יתום,,2006-04-17T00:00:00,2008-07-02T00:00:00
יעקב ליצמן,,2006-04-17T00:00:00,2009-02-24T00:00:00
מיכאל נודלמן,,2006-04-17T00:00:00,2009-02-24T00:00:00
עמירה דותן,,2006-04-17T00:00:00,2009-02-24T00:00:00
יואל חסון,,2006-04-17T00:00:00,2009-02-24T00:00:00
אבי דיכטר,,2006-04-17T00:00:00,2009-02-24T00:00:00
שלמה ברזניץ,,2006-04-17T00:00:00,2007-09-28T00:00:00
יורם מרציאנו,,2006-04-17T00:00:00,2009-02-24T00:00:00
אבישי ברוורמן,,2006-04-17T00:00:00,2009-02-24T00:00:00
שלי יחימוביץ',,2006-04-17T00:00:00,2009-02-24T00:00:00
נאדיה חילו,,2006-04-17T00:00:00,2009-02-24T00:00:00
רוברט אילטוב,,2006-04-17T00:00:00,2009-02-24T00:00:00
