,date,file_path,debate_title,country
84,2010-03-11,Data/speeches/UK/hurch Commissioners 2010-03-11 (1).json,Church Commissioners,2.0
85,2010-03-11,Data/speeches/UK/hurch Commissioners 2010-03-11.json,Church Commissioners,2.0
86,2010-03-11,Data/speeches/UK/hurch Music 2010-03-11.json,Church Music,2.0
87,2010-03-10,Data/speeches/UK/ivil Service Compensation Scheme 2010-03-10.json,Civil Service Compensation Scheme,2.0
88,2010-03-23,Data/speeches/UK/luster Munitions (Prohibitions)  Bill [Lords] 2010-03-23.json,Cluster Munitions (Prohibitions)  Bill [Lords],2.0
89,2010-03-17,Data/speeches/UK/luster Munitions (Prohibitions) Bill [Lords] 2010-03-17.json,Cluster Munitions (Prohibitions) Bill [Lords],2.0
90,2010-03-12,Data/speeches/UK/o-operative and Community Benefit Societies and Credit Unions Bill [Lords] 2010-03-12.json,Co-operative and Community Benefit Societies and Credit Unions Bill [Lords],2.0
91,2010-03-10,Data/speeches/UK/ommons Chamber 2010-03-10.json,Commons Chamber,2.0
92,2010-03-11,Data/speeches/UK/ommons Chamber 2010-03-11.json,Commons Chamber,2.0
93,2010-03-12,Data/speeches/UK/ommons Chamber 2010-03-12.json,Commons Chamber,2.0
94,2010-03-15,Data/speeches/UK/ommons Chamber 2010-03-15.json,Commons Chamber,2.0
95,2010-03-16,Data/speeches/UK/ommons Chamber 2010-03-16.json,Commons Chamber,2.0
96,2010-03-17,Data/speeches/UK/ommons Chamber 2010-03-17.json,Commons Chamber,2.0
97,2010-03-18,Data/speeches/UK/ommons Chamber 2010-03-18.json,Commons Chamber,2.0
98,2010-03-22,Data/speeches/UK/ommons Chamber 2010-03-22.json,Commons Chamber,2.0
99,2010-03-23,Data/speeches/UK/ommons Chamber 2010-03-23.json,Commons Chamber,2.0
100,2010-03-24,Data/speeches/UK/ommons Chamber 2010-03-24.json,Commons Chamber,2.0
101,2010-03-25,Data/speeches/UK/ommons Chamber 2010-03-25.json,Commons Chamber,2.0
102,2010-03-17,Data/tmp_text_files/UK/Commons Councils (Standard Constitution) (England) Regulations 2010 2010-03-17.txt,,
103,2010-03-23,Data/speeches/UK/ommons Councils (Standard Constitution) (England) Regulations 2010 2010-03-23.json,Commons Councils (Standard Constitution) (England) Regulations 2010,2.0
104,2010-03-10,Data/tmp_text_files/UK/Concessionary Bus Travel Act 2007 (Variation of Reimbursement and Other Administrative Arrangements) Order 2010 2010-03-10.txt,,
105,2010-03-15,Data/speeches/UK/oncessionary Bus Travel Act 2007 (Variation of Reimbursement and Other Administrative Arrangements) Order 2010 2010-03-15.json,Concessionary Bus Travel Act 2007 (Variation of Reimbursement and Other Administrative Arrangements) Order 2010,2.0
106,2010-03-23,Data/tmp_text_files/UK/Concessionary Bus Travel Act 2007 (Variation of Reimbursement and Other Administrative Arrangements) Order 2010 2010-03-23.txt,,
107,2010-03-18,Data/speeches/UK/onditional Fee Agreements (Amendment) Order 2010 2010-03-18.json,Conditional Fee Agreements (Amendment) Order 2010,2.0
108,2010-03-25,Data/speeches/UK/onditional Fee Agreements (Amendment) Order 2010 2010-03-25.json,Conditional Fee Agreements (Amendment) Order 2010,2.0
109,2010-03-11,Data/speeches/UK/onduct in the Chamber 2010-03-11.json,Conduct in the Chamber,2.0
110,2010-03-11,Data/tmp_text_files/UK/Consolidated Fund (Appropriation) Bill 2010-03-11.txt,,
111,2010-03-17,Data/tmp_text_files/UK/Consolidated Fund (Appropriation) Bill 2010-03-17.txt,,
112,2010-03-24,Data/speeches/UK/onstitutional Reform and  Governance Bill 2010-03-24.json,Constitutional Reform and  Governance Bill,2.0
113,2010-03-22,Data/speeches/UK/ounter-terrorism 2010-03-22.json,Counter-terrorism,2.0
114,2010-03-16,Data/speeches/UK/redit Rating 2010-03-16.json,Credit Rating,2.0
115,2010-03-17,Data/speeches/UK/rime Levels 2010-03-17.json,Crime Levels,2.0
116,2010-03-15,Data/speeches/UK/riminal Defence Service (Information Requests) (Amendment) Regulations 2010 2010-03-15.json,Criminal Defence Service (Information Requests) (Amendment) Regulations 2010,2.0
117,2010-03-24,Data/tmp_text_files/UK/Criminal Defence Service (Information Requests) (Amendment) Regulations 2010 2010-03-24.txt,,
118,2010-03-15,Data/tmp_text_files/UK/Criminal Defence Service (Representation Orders_ Appeals etc.) (Amendment) Regulations 2010 2010-03-15.txt,,
119,2010-03-18,Data/speeches/UK/riminal Procedure and Investigations Act 1996 (Code of Practice for Interviews of Witnesses Notified by Accused) Order 2010 2010-03-18.json,Criminal Procedure and Investigations Act 1996 (Code of Practice for Interviews of Witnesses Notified by Accused) Order 2010,2.0
120,2010-03-23,Data/speeches/UK/rown Dependencies 2010-03-23.json,Crown Dependencies,2.0
121,2010-03-16,Data/speeches/UK/rown Estate Commissioners 2010-03-16.json,Crown Estate Commissioners,2.0
122,2010-03-18,Data/speeches/UK/ulture as a Front-Line Service 2010-03-18.json,Culture as a Front-Line Service,2.0
123,2010-03-18,Data/speeches/UK/ycling and Motorcycling Accidents 2010-03-18.json,Cycling and Motorcycling Accidents,2.0
124,2010-03-18,Data/speeches/UK/amages-Based Agreements Regulations 2010 2010-03-18.json,Damages-Based Agreements Regulations 2010,2.0
125,2010-03-25,Data/speeches/UK/amages-Based Agreements Regulations 2010 2010-03-25.json,Damages-Based Agreements Regulations 2010,2.0
126,2010-03-25,Data/speeches/UK/angerous Dogs 2010-03-25.json,Dangerous Dogs,2.0
127,2010-03-12,Data/speeches/UK/angerous Dogs Act 2010-03-12.json,Dangerous Dogs Act,2.0
128,2010-03-11,Data/speeches/UK/ay Nursery 2010-03-11 (1).json,Day Nursery,2.0
129,2010-03-11,Data/speeches/UK/ay Nursery 2010-03-11.json,Day Nursery,2.0
130,2010-03-11,Data/speeches/UK/ean of Derby 2010-03-11.json,Dean of Derby,2.0
131,2010-03-25,Data/speeches/UK/eath of a Member_ Baroness Park of Monmouth 2010-03-25.json,Death of a Member: Baroness Park of Monmouth,2.0
132,2010-03-11,Data/speeches/UK/ebt_ Insolvency Laws 2010-03-11.json,Debt: Insolvency Laws,2.0
133,2010-03-24,Data/speeches/UK/ecommissioning 2010-03-24.json,Decommissioning,2.0
134,2010-03-15,Data/speeches/UK/efence in the World 2010-03-15.json,Defence in the World,2.0
135,2010-03-16,Data/speeches/UK/efence Industry (Lancashire) 2010-03-16.json,Defence Industry (Lancashire),2.0
136,2010-03-22,Data/speeches/UK/efence_ Nimrod Crash 2010-03-22.json,Defence: Nimrod Crash,2.0
